source,target,value
tt2016335,tt10324122,30.0
tt0096378,tt0118691,30.76923076923077
tt0275039,tt5344794,30.0
tt0263757,tt0210945,30.76923076923077
tt0108451,tt0110656,30.0
tt10059518,tt1285309,30.0
tt0119594,tt0084732,30.0
tt0119594,tt0308383,30.0
tt0084732,tt0308383,30.0
tt3203606,tt1790886,30.0
tt3203606,tt1000771,30.0
tt1790886,tt1000771,30.0
tt0058672,tt0040636,30.0
tt0114697,tt0105402,30.76923076923077
tt0185125,tt0101026,30.0
tt0048728,tt0030341,30.0
tt0048728,tt0026029,30.0
tt0048728,tt0028212,30.0
tt0048728,tt0053125,30.833333333333336
tt0030341,tt0026029,30.0
tt0030341,tt0028212,30.0
tt0030341,tt0053125,30.0
tt0026029,tt0028212,30.0
tt0026029,tt0053125,30.0
tt0028212,tt0053125,30.0
tt0196158,tt0117238,30.0
tt0114663,tt0337697,30.0
tt0469623,tt0469623,31.428571428571427
tt0143145,tt0980970,30.0
tt0380066,tt1714208,30.0
tt0380066,tt0972883,15.0
tt1714208,tt0972883,15.0
tt1023114,tt0090329,30.0
tt1023114,tt0076299,30.0
tt1023114,tt0073540,30.0
tt0090329,tt0076299,30.0
tt0090329,tt0073540,30.0
tt0076299,tt0073540,30.76923076923077
tt0054462,tt0057569,30.0
tt4218696,tt0258463,30.0
tt4218696,tt0117802,30.0
tt0258463,tt0117802,30.0
tt0206367,tt0160429,15.0
tt0206367,tt0082406,7.5
tt0206367,tt0088814,10.0
tt0160429,tt0082406,10.0
tt0160429,tt0088814,15.0
tt0082406,tt0088814,10.0
tt0072281,tt0086393,30.0
tt0072281,tt0081573,30.0
tt0086393,tt0081573,30.833333333333336
tt0419294,tt1510938,31.25
tt0340376,tt0073631,30.0
tt0340376,tt0059037,30.0
tt0340376,tt0102609,30.0
tt0340376,tt0093565,30.0
tt0073631,tt0059037,30.0
tt0073631,tt0102609,30.0
tt0073631,tt0093565,30.0
tt0059037,tt0102609,30.0
tt0059037,tt0093565,30.0
tt0102609,tt0093565,30.0
tt2403029,tt2933474,15.0
tt4434688,tt0816520,30.0
tt0084649,tt0111419,15.0
tt0298130,tt0325980,30.0
tt0298130,tt0383574,30.0
tt0298130,tt0449088,30.0
tt0298130,tt0119715,30.0
tt0325980,tt0383574,31.0
tt0325980,tt0449088,31.0
tt0325980,tt0119715,30.0
tt0383574,tt0449088,31.11111111111111
tt0383574,tt0119715,30.0
tt0449088,tt0119715,30.0
tt2286990,tt0111359,30.0
tt2286990,tt0097958,30.0
tt0111359,tt0097958,30.0
tt0314498,tt0139699,30.0
tt0473102,tt0251382,30.0
tt0236388,tt7768846,15.0
tt0057372,tt0055069,30.833333333333336
tt0023238,tt0024593,15.833333333333332
tt0023238,tt0023238,16.428571428571427
tt0024593,tt0023238,15.833333333333332
tt0368008,tt0088178,30.0
tt0368008,tt0091983,30.0
tt0368008,tt0107818,30.76923076923077
tt0088178,tt0091983,30.0
tt0088178,tt0107818,30.0
tt0091983,tt0107818,30.0
tt0362270,tt0128445,30.76923076923077
tt0146984,tt0968264,30.0
tt8031422,tt6298780,30.909090909090907
tt8031422,tt4831420,30.833333333333336
tt8031422,tt3062074,30.909090909090907
tt8031422,tt2724064,30.909090909090907
tt6298780,tt4831420,30.833333333333336
tt6298780,tt3062074,30.833333333333336
tt6298780,tt2724064,30.909090909090907
tt4831420,tt3062074,30.833333333333336
tt4831420,tt2724064,30.833333333333336
tt3062074,tt2724064,30.833333333333336
tt0076257,tt0090056,30.0
tt0029030,tt0031971,30.833333333333336
tt0029030,tt0042895,30.0
tt0029030,tt0038160,30.0
tt0031971,tt0042895,30.714285714285715
tt0031971,tt0038160,30.76923076923077
tt0031971,tt0031971,31.428571428571427
tt0042895,tt0038160,30.714285714285715
tt0042895,tt0031971,30.714285714285715
tt0038160,tt0031971,30.76923076923077
tt0052905,tt0053085,30.833333333333336
tt0052905,tt0050280,30.833333333333336
tt0053085,tt0050280,30.833333333333336
tt0044672,tt0018054,30.0
tt0061722,tt0243664,30.0
tt0061722,tt0115685,30.0
tt0243664,tt0115685,30.0
tt0079240,tt0088024,30.0
tt0079240,tt0098093,30.0
tt0088024,tt0098093,30.0
tt7869070,tt7869070,31.428571428571427
tt1650535,tt3228088,30.0
tt0080678,tt0166896,30.0
tt0080678,tt0105665,30.0
tt0166896,tt0105665,30.0
tt0104040,tt0093894,30.0
tt5001436,tt4141368,30.833333333333336
tt0844479,tt1748227,30.76923076923077
tt4633662,tt5176442,30.0
tt0062790,tt0057590,30.0
tt0062790,tt0053796,30.0
tt0057590,tt0053796,30.76923076923077
tt0387877,tt0120832,30.0
tt0387877,tt0070698,30.0
tt0120832,tt0070698,30.0
tt1053810,tt1053810,31.428571428571427
tt1412386,tt0138097,30.833333333333336
tt0092627,tt0110997,30.0
tt0083630,tt0079714,30.0
tt5045682,tt1727358,30.0
tt0043265,tt0080140,30.0
tt0043265,tt0088322,30.0
tt0043265,tt0033870,30.76923076923077
tt0080140,tt0088322,30.0
tt0080140,tt0033870,30.0
tt0088322,tt0033870,30.0
tt0427944,tt1193138,30.76923076923077
tt0427944,tt5610554,30.0
tt1193138,tt5610554,30.0
tt0775539,tt0480255,30.76923076923077
tt2073086,tt0384488,30.76923076923077
tt0105466,tt0111438,30.0
tt0105466,tt0095897,30.0
tt0111438,tt0095897,30.0
tt0084707,tt0100404,30.0
tt0208092,tt1515091,30.0
tt0208092,tt0988045,30.0
tt1515091,tt0988045,30.909090909090907
tt0105434,tt0100645,15.833333333333332
tt0122718,tt0078087,30.0
tt0098343,tt0084814,30.0
tt0098343,tt0075066,30.0
tt0098343,tt0057413,30.0
tt0098343,tt0108187,30.0
tt0098343,tt0078163,30.0
tt0084814,tt0075066,30.76923076923077
tt0084814,tt0057413,30.833333333333336
tt0084814,tt0108187,30.76923076923077
tt0084814,tt0078163,30.833333333333336
tt0075066,tt0057413,30.76923076923077
tt0075066,tt0108187,30.76923076923077
tt0075066,tt0078163,30.833333333333336
tt0057413,tt0108187,30.76923076923077
tt0057413,tt0078163,30.76923076923077
tt0108187,tt0078163,30.76923076923077
tt0184894,tt0284490,30.0
tt0300471,tt0396269,30.76923076923077
tt0329575,tt5164214,30.0
tt10650924,tt0108333,30.0
tt10650924,tt0104868,30.0
tt0108333,tt0104868,30.0
tt0043983,tt0045152,15.0
tt10920190,tt4898564,31.25
tt10920190,tt9824114,30.833333333333336
tt4898564,tt9824114,31.11111111111111
tt1446714,tt0103074,30.0
tt0086129,tt0084522,31.25
tt0133152,tt0089791,30.0
tt0311648,tt1462769,30.0
tt1596345,tt0325710,30.0
tt0070510,tt0069495,30.833333333333336
tt0050815,tt0038589,30.0
tt1767354,tt0106223,30.0
tt1767354,tt0209163,30.0
tt1767354,tt0120616,30.0
tt0106223,tt0209163,30.0
tt0106223,tt0120616,30.0
tt0209163,tt0120616,31.11111111111111
tt0119783,tt0071877,30.0
tt0067483,tt0063442,30.0
tt0435705,tt1270262,30.0
tt0203009,tt1343092,30.0
tt0415167,tt0084516,30.0
tt0095652,tt0063350,30.0
tt9766166,tt6878820,31.11111111111111
tt9766166,tt0274636,30.0
tt9766166,tt1013542,30.0
tt6878820,tt0274636,30.0
tt6878820,tt1013542,30.0
tt0274636,tt1013542,30.0
tt1414382,tt0492956,30.0
tt1414382,tt1075417,30.0
tt1414382,tt1047540,30.0
tt0492956,tt1075417,30.76923076923077
tt0492956,tt1047540,30.0
tt1075417,tt1047540,30.0
tt0290334,tt1877832,30.909090909090907
tt0290334,tt3385516,30.0
tt0290334,tt0120903,31.25
tt0290334,tt0348150,30.76923076923077
tt1877832,tt3385516,31.0
tt1877832,tt0120903,30.909090909090907
tt1877832,tt0348150,30.0
tt3385516,tt0120903,30.0
tt3385516,tt0348150,30.0
tt0120903,tt0348150,30.76923076923077
tt0376994,tt0266915,30.0
tt0376994,tt0120812,30.0
tt0376994,tt0289765,30.0
tt0376994,tt1333125,3.333333333333333
tt0266915,tt0120812,30.833333333333336
tt0266915,tt0289765,30.0
tt0266915,tt1333125,2.5
tt0120812,tt0289765,30.0
tt0120812,tt1333125,2.5
tt0289765,tt1333125,2.5
tt1772341,tt5848272,16.0
tt1449283,tt5109280,10.0
tt0114924,tt0963966,30.0
tt0114924,tt0219854,30.0
tt0963966,tt0219854,30.0
tt10833270,tt1604171,30.0
tt0467110,tt0376105,30.0
tt0283084,tt0760329,30.0
tt0075347,tt0073760,30.0
tt0075347,tt0066728,30.0
tt0075347,tt0078790,30.0
tt0073760,tt0066728,30.76923076923077
tt0073760,tt0078790,30.0
tt0066728,tt0078790,30.0
tt0133240,tt0780521,15.0
tt0133240,tt0097757,15.0
tt0133240,tt0091149,7.5
tt0780521,tt0097757,15.0
tt0780521,tt0091149,7.5
tt0097757,tt0091149,7.5
tt5116302,tt2058673,30.0
tt2483260,tt0969647,30.0
tt2483260,tt1217213,16.0
tt0969647,tt1217213,15.0
tt1216516,tt1691917,30.0
tt0823671,tt0257778,30.0
tt0053352,tt0054357,30.833333333333336
tt0047642,tt0047803,40.0
tt0047642,tt0041094,10.0
tt0047642,tt0049733,40.0
tt0047803,tt0041094,10.0
tt0047803,tt0049733,40.0
tt0041094,tt0049733,10.0
tt0061135,tt0077305,30.0
tt0061135,tt0072653,30.0
tt0077305,tt0072653,30.76923076923077
tt0057546,tt0076618,10.0
tt0057546,tt0076363,15.769230769230768
tt0057546,tt0061852,30.76923076923077
tt0057546,tt0065421,30.0
tt0057546,tt0070608,30.0
tt0076618,tt0076363,10.0
tt0076618,tt0061852,10.0
